campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Penn State University Park,ChIJ83y1o5iozokRO1UrkITC1I0,Nevins Real Estate Management,http://www.apartmentsstatecollege.com/,Apartment rental agency,,214 S Allen St #1,State College,16801,Pennsylvania,40.79298,-77.860055,True
Penn State University Park,ChIJkxzjvn6ozokRHEof3qddoCE,Blue Course Commons,https://www.offcampushousingstatecollege.com/blue-course-commons/?utm_source=GMB,Student housing center,,446 Blue Course Dr,State College,16803,Pennsylvania,40.7985572,-77.8886915,True
Penn State University Park,ChIJy6xaEQapzokRGunpHg5WWxk,The Yards at Old State,https://www.theyardsatoldstate.com/?utm_source=Google+My+Business,Apartment rental agency,,1830 Blue Course Dr,State College,16801,Pennsylvania,40.7692998,-77.860658,True
Penn State University Park,ChIJ2_E_b3-ozokRu1JDmnYvdaM,Park Crest Terrace Apartments,https://calibreresidential.com/,Apartment building,,1400 Martin St Office #1,State College,16803,Pennsylvania,40.8025545,-77.88947089999999,True
Penn State University Park,ChIJn4wFUb-ozokRBIjeH4SwQl0,Lions Gate Apartments,https://www.continentalrealestate.net/,Apartment building,,424 Waupelani Dr,State College,16801,Pennsylvania,40.7788875,-77.8537333,True
Penn State University Park,ChIJLS5X17OnzokRqWLyrt6auaM,Toftrees Apartments - Turtle Creek Apartments,http://www.toftreesapartments.com/,Apartment building,,701 Cricklewood Dr,State College,16803,Pennsylvania,40.8293258,-77.888204,False
Penn State University Park,ChIJs2sECZmozokRwUKJsVlAEWg,GN Associates,http://www.gnrealty.com/,Apartment rental agency,,119 S Burrowes St # 101,State College,16801,Pennsylvania,40.792482,-77.862996,True
Penn State University Park,ChIJSZQWv7WnzokRZk33Qaqhz_8,The View Apartments,http://theviewstatecollege.com/,Apartment complex,,850 Toftrees Ave,State College,16803,Pennsylvania,40.8228956,-77.8840341,True
Penn State University Park,ChIJiRa683WozokR34MWJC9g-K0,State College Collective,https://www.statecollegecollective.com/?y_source=1_MjgxNzM0MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Apartment building,,145 Northbrook Ln,State College,16803,Pennsylvania,40.805854,-77.90234699999999,True
Penn State University Park,ChIJm34mnaCozokRBrvtNNK75Fg,The Apartment Store,https://www.apartmentstore.com/,Apartment rental agency,,322A E College Ave,State College,16801,Pennsylvania,40.7968943,-77.8577987,True
Penn State University Park,ChIJb3MDgH-ozokRiwNQ_71lqLw,College Court,http://nittanypm.com/,Apartment complex,,265 Blue Course Dr,State College,16803,Pennsylvania,40.8017216,-77.8851511,False
Penn State University Park,ChIJ3zOD_6GozokRm0pe9D2xPDs,The Metropolitan State College,https://www.themetstatecollege.com/?utm_source=GoogleMyBusiness,Student housing center,,412 W College Ave,State College,16801,Pennsylvania,40.7914091,-77.8654403,True
Penn State University Park,ChIJJdkuzriozokRqiOC6JUHuTM,The Retreat at State College,https://www.retreatstatecollege.com/?switch_cls[id]=67805,Apartment rental agency,,300 Waupelani Dr,State College,16801,Pennsylvania,40.7800212,-77.8505326,True
Penn State University Park,ChIJEzCaBZ2pzokR5e6O1dFo8Hg,Haus State College,https://www.hausstudentliving.com/,Apartment complex,,914 W College Ave,State College,16801,Pennsylvania,40.7864829,-77.8717125,True
